Gene Symbol	SPOT	Profile	6d-average	7d-average	8d-average
Zm00001d029226	1305	3	0	0.19	-0.89
Zm00001d029228	1307	3	0	-0.41	-2.63
Zm00001d029232	1309	6	0	5.63	5.26
Zm00001d029233	1310	4	0	-0.34	3.27
Zm00001d029234	1311	4	0	0.34	1.73
Zm00001d029235	1312	3	0	-0.92	-6.57
Zm00001d029238	1314	5	0	0.89	-0.45
Zm00001d029241	1315	3	0	-0.09	-4.36
Zm00001d029246	1317	6	0	1.56	1.83
Zm00001d029247	1318	6	0	7.15	8.39
Zm00001d029252	1322	3	0	0.45	-6.66
Zm00001d029257	1326	6	0	0.79	1.03
Zm00001d029258	1327	5	0	8.4	4.14
Zm00001d029261	1329	5	0	4.95	0
Zm00001d029288	1338	3	0	-0.18	-2.45
Zm00001d029289	1339	1	0	-2.12	-2.25
Zm00001d029293	1340	2	0	-1.31	0.98
Zm00001d029307	1345	6	0	1.34	1.59
Zm00001d029313	1346	6	0	8.5	8.69
Zm00001d029314	1347	6	0	4.94	3.91
Zm00001d029321	1348	5	0	2.64	-0.45
Zm00001d029325	1350	4	0	-0.59	0.78
Zm00001d029333	1355	7	0	0.98	3.16
Zm00001d029341	1359	3	0	-0.09	-3.78
Zm00001d029349	1363	6	0	2.59	1.99
Zm00001d029353	1365	3	0	3.29	-3.77
Zm00001d029356	1366	5	0	1.58	0.45
Zm00001d029357	1367	6	0	1.18	1.49
Zm00001d029358	1368	7	0	0.45	1.46
Zm00001d029359	1369	6	0	3.5	3.96
Zm00001d029366	1372	3	0	0.5	-0.55
Zm00001d029373	1375	5	0	1.23	0.31
Zm00001d029383	1382	6	0	6.52	5.03
Zm00001d029385	1383	3	0	0.49	-3.77
Zm00001d029386	1384	6	0	5.51	3.91
Zm00001d029388	1385	3	0	-1.47	-5.73
Zm00001d029391	1387	2	0	-1.2	0.3
Zm00001d029395	1391	6	0	3.95	3.91
Zm00001d029397	1393	0	0	-1.09	-1.8
Zm00001d029400	1394	3	0	-0.46	-2.03
Zm00001d029404	1396	3	0	0.91	-4.36
Zm00001d029407	1397	3	0	-0.22	-3.65
Zm00001d029410	1400	2	0	-8.14	-3.59
Zm00001d029420	1406	4	0	0.09	2.03
Zm00001d029425	1409	6	0	2.69	3.1
Zm00001d029427	1411	5	0	0.9	-0.48
Zm00001d029431	1415	3	0	0.02	-4.24
Zm00001d029432	1416	0	0	-0.97	-1.38
Zm00001d029437	1418	3	0	0.24	-1.59
Zm00001d029438	1419	6	0	1.3	1.61
Zm00001d029441	1420	5	0	4.95	0
Zm00001d029442	1421	6	0	3.82	2.98
Zm00001d029446	1423	6	0	2.69	3.45
Zm00001d029459	1430	3	0	0.02	-1.55
Zm00001d029460	1431	3	0	0.04	-3.27
Zm00001d029461	1432	3	0	-0.13	-2.17
Zm00001d029466	1434	0	0	-1.38	-2.32
Zm00001d029467	1435	1	0	-2.66	-2.12
Zm00001d029468	1436	3	0	0	-1.6
Zm00001d022759	1437	3	0	0.17	-9.43
Zm00001d029474	1439	3	0	-0.87	-3.49
